1,The Credit Suisse Exhibition: Raphael,1,330,235,2
2,The Credit Suisse Exhibition: Raphael,2,305,225,1,4
4,The Credit Suisse Exhibition: Raphael,3,280,225,2,5,6
5,The Credit Suisse Exhibition: Raphael,4,280,190,4,11
6,The Credit Suisse Exhibition: Raphael,5,255,225,4,7
7,The Credit Suisse Exhibition: Raphael,6,235,235,6,8
8,The Credit Suisse Exhibition: Raphael,7,210,215,7,9
9,Venice 1530 - 1600,8,210,165,8,10,15,16,51
10,The sacred and profane in sixteenth-century Italian art,9,250,165,9,11
11,Veronese's 'Four Allegories of Love',10,280,165,5,10,12,14
12,Northern Italian Portraiture 1510–1580,11,310,165,11
14,The Neatherlands,12,280,140,11,29
15,Joachim Beuckleaer,13,225,115,9,16,17,18,26,29
16,"Cranach the Elder Huber and Seisenegger",14,200,125,9,15,17
17,"Altdorfer Rottenhammer Wertinger",15,200,105,15,16
18,Rubens,16,225,60,19,20,21,22,23,24,26
19,Dutch landscapes,17,195,80,18,20
20,A different view of Flanders,18,195,60,19,21
21,Van Dyck,19,195,40,18,20
22,Rembrandt,20,250,40,18,23
23,Dutch portraiture,21,250,60,22,24
24,International ambitions,22,250,80,18,23,25
25,A New Art For A New Nation,23,280,80,24,28
26,"Brueghel the Elder van der Heyden van de Velde",24,240,95,15,18,27
27,"de Hooch Saenredam Vermeer",25,260,95,26,28
28,A New Art For A New Nation,26,280,95,25,29
29,French Painting 1600 - 1700,27,280,115,14,15,30
30,Spain,28,355,115,29,31,32
31,Room closed,29,355,90,30
32,17th-century Italian paintings,30,425,115,30,33,37
33,"David Fragonard and Vernet",31,480,115,32,34
34,"Constable Turner and Stubbs",32,480,165,33,35,41
35,Hogarth and British Painting,33,455,165,34,36
36,Claude and Turner,34,355,165,35,37,38,40
37,The Grand Tour,35,425,140,32,36
38,Canaletto and Guardi,36,395,165,36,39
39,"Canaletto Pittoni and Tiepolo",37,375,165,38
40,18th-century painting in Europe,38,425,195,36,44
41,"Cézanne Monet Renoir",39,490,215,34,42
42,Room closed,40,470,240,41,43
43,"Gauguin Seurat Van Gogh",41,450,220,42,44
44,"Cézanne Degas Monet",42,425,220,40,43,45
45,"Constable Corot and Ingres",43,400,220,44,46
46,Gainsborough's Blue Boy,44,375,235,45
51,"Italy 1250 - 1350",45,125,155,9,52,60
52,"Siena 1300 - 1450",46,125,180,51,53
53,"Florence and Beyond 1440 - 1470",47,125,200,52,54,59
54,Mantegna and Crivelli,48,125,220,53,55
55,"Venice and the Veneto 1460 - 1510",49,125,240,54,56,57
56,Venice after 1500,50,125,255,55
57,Ferrara and Bologna,51,105,245,55,58,65
58,Botticelli and Filippino Lippi,52,105,220,57,59
59,Florence 1460 - 1500,53,105,190,53,58,60,63
60,Florentine Alterpieces about 1350 - about 1460,54,105,155,51,59,61
61,Central Italy 1480 - 1520,55,80,155,60,62
62,Cologne and north-western Germany,56,80,180,61,63
63,15th-century Netherlandish painting,57,80,200,59,62,64
64,Beyond the Netherlands,58,80,220,63,65
65,Southern Germany and Austria,59,80,235,64,66
66,Leonardo da Vinci at the National Gallery,60,80,250,65
